"ENST00000623130.1"	"ENST00000383869.1"	"piR-hsa-23317"	"ENST00000516053.2"	"ENST00000626826.1"	"ENST00000362154.1"	"ENST00000536684.2"	"ENST00000384886.3"	"ENST00000384278.1"	"ENST00000385273.1"
"Sample_2S14"	0.0265493028538108	0.0619254177604197	9.71438025065952	-0.0431930350931731	0.00266600339533756	0.13848245287448	-0.0489863503107067	-0.0198687134142693	0.0567660081335652	0.934403331470166
"Sample_2S15"	-0.00805903649340235	0.0977988000682461	1.24932489932163	-0.0442572052015144	-0.0155015273792966	0.150262811182072	-0.0473774423002326	-0.0327200289126699	0.103325737909727	0.95227106754477
"Sample_2S16"	0.0073165910432845	0.0698649060398702	10.3778779858323	-0.0430107994828817	0.00080530974862463	0.167150126322546	-0.0304111449140108	0.00170656980974179	0.0711006000079872	0.831599737705953
"Sample_2S17"	-0.0564193005355903	0.0180997763245169	7.8529992394643	0.00408711688435688	-0.0610026753276142	0.276657167242232	-0.0545778065311189	-0.0572337558850623	0.0211055861889151	1.81406752549136
"Sample_2S18"	-0.0606696725386661	0.0696988920296589	1.71992354559991	-0.0414230316201547	-0.0641407896950799	0.163010315114827	-0.0431587975537373	0.0142057595970451	0.0769853002493804	0.85547226013753
"Sample_2S19"	0.254537414622709	0.0724872628890168	9.01644982100607	-0.055684393483419	0.192601374982647	0.168101013732733	-0.0420424747881284	0.127988406237914	0.073786267343455	0.704326635196013
"Sample_2S2"	-0.0538409498976679	0.0851355899931305	3.11375093554874	-0.0319285622616432	-0.0588778797221355	0.157622477261317	-0.0394564875079982	0.0221094818703135	0.0788356278513451	0.956025038332618
"Sample_2S20"	-0.058208005681702	0.0847206059312859	13.4001448504933	-0.0485288542534287	-0.0636229012920837	0.131902939288835	-0.0376850009431266	-0.036863786726827	0.0887603704748516	0.848446100889959
"Sample_2S21"	-0.0346963500574569	0.0859746444487776	1.41443828152667	-0.0321335041622221	-0.0436121512711347	0.131308051520409	-0.0357521986920727	-0.0314841368299215	0.0828210259508133	0.878260206016025
"Sample_2S22"	-0.0588213287209211	0.0773585148749803	2.88118913286806	-0.0439798930771284	-0.0590526948522516	0.124028462196269	-0.0469749303880341	-0.021233621846371	0.0744636685438811	0.869955349248073
